com.samsung.shealth.activity.day_summary,6305105,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,0,,0,,0,,2019-10-10 02:46:22.163,,2019-10-10 02:46:22.163,,,,-1,0,0,,,,0.0,,0.0,d3f6d535-8ad5-4b9e-9e92-3f860b48fdfe.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,d3f6d535-8ad5-4b9e-9e92-3f860b48fdfe,2019-09-13 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:24.649,,2019-10-10 02:46:24.649,,,,-1,0,0,,,,0.0,,0.0,97857eea-747c-4a0c-ae1b-e206406e6301.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,97857eea-747c-4a0c-ae1b-e206406e6301,2019-10-06 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:22.527,,2019-10-10 02:46:22.527,,,,-1,0,0,,,,0.0,,0.0,0ab51663-39b5-45d3-a560-839c4a04fdc3.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,0ab51663-39b5-45d3-a560-839c4a04fdc3,2019-09-16 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:24.541,,2019-10-10 02:46:24.541,,,,-1,0,0,,,,0.0,,0.0,651ee9d5-341a-443b-8d35-d9dc46b6162d.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,651ee9d5-341a-443b-8d35-d9dc46b6162d,2019-10-05 00:00:00.000,
,,,,5211,,3348476,,0,,2019-10-28 08:35:21.129,,2019-10-27 05:00:00.927,,,,60,60000,91,,,,4071.6096,,316.12067,b004bfda-4e15-4c5a-9917-b6ea526bc903.extra_data.json,rkSVQ0chfP,75200,com.sec.android.app.shealth,3273276,6600000,b004bfda-4e15-4c5a-9917-b6ea526bc903,2019-10-27 00:00:00.000,
,,,,44,,29348,,0,,2019-11-08 08:57:21.733,,2019-11-08 07:00:01.945,,,,60,12006,0,,,,32.066425,,2.2455554,5508b85f-4257-4c55-a87a-6d30e2f004c9.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,29348,3300000,5508b85f-4257-4c55-a87a-6d30e2f004c9,2019-11-08 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:23.664,,2019-10-10 02:46:23.664,,,,-1,0,0,,,,0.0,,0.0,ad20525f-8bf0-444f-a8f8-bd1e055b0c95.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,ad20525f-8bf0-444f-a8f8-bd1e055b0c95,2019-09-27 00:00:00.000,
,,,,12222,,7733268,,0,,2019-10-21 05:35:19.365,,2019-10-20 06:00:00.594,,,,60,180000,213,,,,10221.208,,742.7602,5b062cef-3dd5-4edf-9202-66d76565338c.extra_data.json,rkSVQ0chfP,272043,com.sec.android.app.shealth,7461225,9120000,5b062cef-3dd5-4edf-9202-66d76565338c,2019-10-20 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:24.045,,2019-10-10 02:46:24.045,,,,-1,0,0,,,,0.0,,0.0,8559fdbd-66d3-4f19-bc51-4f68cecd3509.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,8559fdbd-66d3-4f19-bc51-4f68cecd3509,2019-10-01 00:00:00.000,
,,,,7740,,5119736,,0,,2019-10-30 08:35:37.796,,2019-10-29 07:00:03.796,,,,60,120000,141,,,,5409.037,,402.07895,49cb61e0-118b-4564-95ac-3ffb9bfc0f1a.extra_data.json,rkSVQ0chfP,12000,com.sec.android.app.shealth,5107736,7860000,49cb61e0-118b-4564-95ac-3ffb9bfc0f1a,2019-10-29 00:00:00.000,
,,,,0,,0,,0,,2019-10-10 02:46:24.227,,2019-10-10 02:46:24.227,,,,-1,0,0,,,,0.0,,0.0,99d14bc1-73cf-4125-9402-ff7f46154fc6.extra_data.json,rkSVQ0chfP,0,com.sec.android.app.shealth,0,-1,99d14bc1-73cf-4125-9402-ff7f46154fc6,2019-10-03 00:00:00.000,
,,,,6031,,4013141,,0,,2019-11-06 08:55:16.725,,2019-11-05 07:00:01.406,,,,60,120000,110,,,,4320.0146,,314.76096,fbb4b81b-e4d1-46be-8c8c-7080aa49e05d.extra_data.json,rkSVQ0chfP,9200,com.sec.android.app.shealth,4003941,11940000,fbb4b81b-e4d1-46be-8c8c-7080aa49e05d,2019-11-05 00:00:00.000,
,,,,3029,,1972104,,0,,2019-10-27 06:15:26.344,,2019-10-26 05:00:00.713,,,,60,180000,53,,,,2237.7253,,167.62215,035a3cfe-0001-45b7-88d3-1de0262021ed.extra_data.json,rkSVQ0chfP,10781,com.sec.android.app.shealth,1961323,25440000,035a3cfe-0001-45b7-88d3-1de0262021ed,2019-10-26 00:00:00.000,
,,,,4307,,2833601,,0,,2019-10-15 05:55:11.725,,2019-10-14 04:00:00.615,,,,60,120000,78,,,,3415.9343,,265.01978,8747165c-7c43-4db7-ac4d-a1d61dfc0f76.extra_data.json,rkSVQ0chfP,10400,com.sec.android.app.shealth,2823201,19860000,8747165c-7c43-4db7-ac4d-a1d61dfc0f76,2019-10-14 00:00:00.000,
