com.samsung.shealth.tracker.pedometer_step_count,6305105,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
8082,4,0,19,2025-09-14 17:49:00.000,,,2025-09-14 17:49:18.297,2025-09-14 17:49:10.609,19,1.8619628,15.05,0.5,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 17:50:00.000,9064bf2d-0e11-408c-9558-80d08fa403dd,
5867,4,0,19,2025-09-14 17:50:00.000,,,2025-09-14 17:50:47.078,2025-09-14 17:50:24.151,19,2.6639154,15.63,0.54999995,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 17:51:00.000,a4159a62-ebba-4596-afc9-ebabced55145,
5180,4,0,13,2025-09-14 17:51:00.000,,,2025-09-14 17:51:46.227,2025-09-14 17:51:33.733,13,1.9899923,10.309999,0.39000002,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 17:52:00.000,6f3693ba-3b80-4108-931b-f9b78efaf7e5,
7324,4,0,18,2025-09-14 17:52:00.000,,,2025-09-14 17:52:29.596,2025-09-14 17:52:13.275,18,1.9524386,14.299998,0.54,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 17:53:00.000,27b730b1-d79c-40b3-993e-980629422f4e,
17941,4,0,29,2025-09-14 21:43:00.000,,,2025-09-14 21:48:02.737,2025-09-14 21:48:02.737,29,1.1944444,21.43,0.91,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 21:44:00.000,96eca42f-5ce6-46f7-8d1e-d94f32f9cbba,
39109,4,0,64,2025-09-14 21:44:00.000,,,2025-09-14 21:48:02.755,2025-09-14 21:48:02.755,64,1.2222222,47.8,1.94,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 21:45:00.000,0a0ed269-ea65-460b-852c-993ee8ac6df5,
9007,4,0,11,2025-09-14 21:46:00.000,,,2025-09-14 21:48:02.773,2025-09-14 21:48:02.773,11,1.3611112,12.26,0.67,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 21:47:00.000,8b4b736d-3450-4fe5-8a08-8c182fad0652,
10457,4,0,16,2025-09-14 21:47:00.000,,,2025-09-14 21:48:02.789,2025-09-14 21:48:02.789,16,1.1666666,12.2,0.52,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 21:48:00.000,f3e3ba9c-fb63-4056-abb1-e7458181be52,
9258,4,0,16,2025-09-14 21:48:00.000,,,2025-09-14 21:55:01.231,2025-09-14 21:55:01.231,16,1.2777778,11.83,0.52,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 21:49:00.000,0cc4b878-237c-4610-bbff-9bc0e84c757a,
24763,4,0,43,2025-09-14 21:49:00.000,,,2025-09-14 21:55:01.246,2025-09-14 21:55:01.246,43,1.3055556,32.33,1.29,UTC-0700,6+THe69Q8P,com.sec.android.app.shealth,2025-09-14 21:50:00.000,8bfb6feb-4f15-4554-9030-a942a653cf28,
