com.samsung.shealth.stand_day_summary,6305105,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,9568258,,2020-05-17 03:17:12.260,2020-05-16 04:00:04.022,BfdGMJKwGJ,com.sec.android.app.shealth,20012b8a-a38a-9724-c2fe-5ccded2020d9,1589587200000,
,8192,,2020-05-17 17:37:26.245,2020-05-17 04:00:07.356,BfdGMJKwGJ,com.sec.android.app.shealth,979a1d09-73ec-b40b-c5c1-4248a44a5107,1589673600000,
,2359296,,2020-05-19 02:42:43.277,2020-05-18 04:00:08.443,BfdGMJKwGJ,com.sec.android.app.shealth,5c899a38-84f7-51d2-c9c6-e37703de2b15,1589760000000,
,1131792,,2020-05-20 01:02:22.317,2020-05-19 05:00:05.331,BfdGMJKwGJ,com.sec.android.app.shealth,7a7e9cd1-78ff-7ac6-480a-fb791dd8bb4c,1589846400000,
,152724,,2020-05-21 00:25:57.256,2020-05-20 06:00:05.524,BfdGMJKwGJ,com.sec.android.app.shealth,00a9d544-43d6-911a-0eb6-d48eb6bff093,1589932800000,
,260,,2020-05-21 13:34:03.990,2020-05-21 06:00:04.217,BfdGMJKwGJ,com.sec.android.app.shealth,7ab1318b-11ff-1c30-842c-f961d0589ac4,1590019200000,
,4503552,,2020-05-24 03:17:14.264,2020-05-23 14:12:19.653,BfdGMJKwGJ,com.sec.android.app.shealth,12c21882-677d-1b50-4ba7-f12cf5cc7fb3,1590192000000,
,1801,,2020-05-24 17:06:42.593,2020-05-24 05:00:07.804,BfdGMJKwGJ,com.sec.android.app.shealth,3c474660-edfc-a860-25e9-19fa655cf49f,1590278400000,
,1281064,,2020-05-27 02:56:57.176,2020-05-26 07:21:15.581,BfdGMJKwGJ,com.sec.android.app.shealth,11f02c68-c9b7-4581-21ee-9ed780933939,1590451200000,
,1188355,,2020-05-28 01:37:51.203,2020-05-27 06:00:06.802,BfdGMJKwGJ,com.sec.android.app.shealth,c24c080e-e32a-0657-9ad1-2379faed0f96,1590537600000,
,4096,,2020-05-28 17:15:19.566,2020-05-28 05:00:18.461,BfdGMJKwGJ,com.sec.android.app.shealth,bb63e456-f890-9d2c-624b-15c3a4f4e827,1590624000000,
,4724224,,2020-05-30 03:28:39.324,2020-05-29 05:00:08.233,BfdGMJKwGJ,com.sec.android.app.shealth,2a0486ce-fd8a-0192-c6e4-6308c18cba7c,1590710400000,
