com.samsung.shealth.sleep,6305105,11
total_sleep_time_weight,original_efficiency,mental_recovery,wake_score,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,deep_score,integrated_id,latency_weight,has_sleep_data,bedtime_detection_delay,sleep_efficiency_with_latency,wakeup_time_detection_delay,total_rem_duration,combined_id,nap_score,sleep_type,sleep_latency,data_version,latency_score,deep_weight,rem_weight,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,wake_weight,rem_score,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,total_sleep_time_score,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.client_data_id,com.samsung.health.sleep.client_data_ver,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,84d9e938-eb40-76ea-8d99-20193141e907.extra_data.json,,,,,,81.0,,,,,,2020-04-25 05:49:00.000,,,2020-04-25 11:04:43.387,2020-04-25 11:04:43.387,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-04-25 11:00:00.000,84d9e938-eb40-76ea-8d99-20193141e907,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,ee95f8c3-0331-eb74-01f4-1e0543ef4362.extra_data.json,,,,,,77.0,,,,,,2020-04-27 00:59:00.000,,,2020-04-27 09:43:29.361,2020-04-27 09:43:29.361,,,UTC-0500,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-04-27 09:36:00.000,ee95f8c3-0331-eb74-01f4-1e0543ef4362,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,116221a8-0b94-a90a-e7ea-7a6c0e56248f.extra_data.json,,,,,,87.0,,,,,,2020-04-28 08:20:00.000,,,2020-04-28 10:46:55.331,2020-04-28 10:46:55.331,,,UTC-0500,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-04-28 10:41:00.000,116221a8-0b94-a90a-e7ea-7a6c0e56248f,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,60ab2e8d-b67f-af4c-1989-798f8c02d8a0.extra_data.json,,,,,,89.0,,,,,,2020-04-28 10:56:00.000,,,2020-04-28 12:59:25.282,2020-04-28 12:59:25.282,,,UTC-0500,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-04-28 12:55:00.000,60ab2e8d-b67f-af4c-1989-798f8c02d8a0,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,b6b7fb7d-2c0c-39cc-e637-0d520dd68055.extra_data.json,,,,,,86.0,,,,,,2020-05-02 12:11:00.000,,,2020-05-02 15:21:39.339,2020-05-02 15:21:39.339,,,UTC-0500,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-05-02 15:04:00.000,b6b7fb7d-2c0c-39cc-e637-0d520dd68055,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,06914ef3-0296-e0bd-29fc-9931c7b321c1.extra_data.json,,,,,,88.0,,,,,,2020-05-03 11:09:00.000,,,2020-05-03 13:57:37.317,2020-05-03 13:57:37.317,,,UTC-0600,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-05-03 13:51:00.000,06914ef3-0296-e0bd-29fc-9931c7b321c1,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,20da3d6c-3af8-51a0-05ce-51401c753d55.extra_data.json,,,,,,92.0,,,,,,2020-05-05 05:11:00.000,,,2020-05-05 09:43:45.323,2020-05-05 09:43:45.323,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-05-05 09:37:00.000,20da3d6c-3af8-51a0-05ce-51401c753d55,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,68950505-f8af-34da-37bf-0ebe4398ba98.extra_data.json,,,,,,84.0,,,,,,2020-05-05 09:47:00.000,,,2020-05-05 13:26:15.484,2020-05-05 13:26:15.484,,,UTC-0700,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-05-05 13:21:00.000,68950505-f8af-34da-37bf-0ebe4398ba98,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,972e0f59-d505-0bd1-df13-6e2d91853ce0.extra_data.json,,,,,,82.0,,,,,,2020-05-08 05:19:00.000,,,2020-05-08 11:41:53.399,2020-05-08 11:41:53.399,,,UTC-0400,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-05-08 11:37:00.000,972e0f59-d505-0bd1-df13-6e2d91853ce0,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,e0a814cf-2b15-03e7-69a7-b71c435ba650.extra_data.json,,,,,,96.0,,,,,,2020-05-09 05:56:00.000,,,2020-05-09 07:24:52.403,2020-05-09 07:24:52.403,,,UTC-0400,BfdGMJKwGJ,,com.sec.android.app.shealth,2020-05-09 07:19:00.000,e0a814cf-2b15-03e7-69a7-b71c435ba650,
