com.samsung.shealth.activity.goal,6305105,1
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2020-06-13 03:14:22.355,2020-06-13 03:14:22.355,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1592018062354,5cea6fca-cfeb-47a6-8e09-898d37c6b624,
2020-06-13 03:14:30.258,2020-06-13 03:14:30.258,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1592018070257,2801934d-a442-499a-8c2d-440fa8a7a26d,
2020-06-13 03:15:11.089,2020-06-13 03:15:11.089,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1592018111086,d9d8d718-b100-441a-85b8-25d6f8d0793a,
2020-06-13 03:17:23.934,2020-06-13 03:17:23.934,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1592018243933,92ebe777-8c4b-4765-ad1a-e544b547e332,
2020-06-15 16:38:03.717,2020-06-15 16:38:03.717,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1592239083710,f210a691-5c12-42d5-9482-d651f1f0d55a,
2020-06-15 16:38:36.909,2020-06-15 16:38:36.909,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1592239116903,401c7dc0-03d0-4329-bac9-c1aecdeef019,
2020-06-15 16:42:38.047,2020-06-15 16:42:38.047,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1592239358044,7636be35-7240-43a5-86cb-7400064a76a3,
2020-06-16 10:36:56.984,2020-06-16 10:36:56.984,60,UTC-0700,jBfEgmLJSx,com.sec.android.app.shealth,1592303816983,284e00b6-387e-4b18-afc6-f1b40d68fdfc,
2020-06-17 20:52:05.979,2020-06-17 20:52:05.979,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1592427125978,7c87a345-044f-4bba-aba8-aeda012d2266,
2020-06-18 10:37:55.717,2020-06-18 10:37:55.717,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1592476675695,d887042c-32aa-4666-aed1-8000bd1838f9,
2020-06-18 10:37:56.882,2020-06-18 10:37:56.882,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1592476676882,7a44080a-87bd-44d4-8cb9-9ef995a204b0,
2020-06-18 10:39:12.259,2020-06-18 10:39:12.259,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1592476752257,5c44754c-1c09-4336-b9f6-86f074ceac4a,
2020-06-18 10:40:40.183,2020-06-18 10:40:40.183,60,UTC-0600,jBfEgmLJSx,com.sec.android.app.shealth,1592476840180,7748f678-f67f-458c-b5c6-8062bebd9941,
2020-06-18 10:40:51.365,2020-06-18 10:40:51.365,60,UTC-0500,jBfEgmLJSx,com.sec.android.app.shealth,1592476851364,e4ce33e6-5848-4e35-bcbb-93a926018031,
2020-06-19 05:32:15.054,2020-06-19 05:32:15.054,60,UTC-0400,jBfEgmLJSx,com.sec.android.app.shealth,1592544735052,b1d7cf1d-2b80-478d-be85-6900f902265a,
